,time,mod_B,Bx,By,Bz,r_sat
315,0.08875,2.207687038508855,1.0641,-1.6018999999999999,1.0842,6150.085392271145
316,0.08902777777777779,2.2049554031771255,1.0541999999999998,-1.5987,1.093,6149.951016289931
317,0.08930555555555555,2.2039464444491386,1.0400999999999998,-1.5994,1.1034,6149.816037450955
318,0.08958333333333333,2.202389926874894,1.0279,-1.5987,1.1127,6149.681412269294
319,0.08986111111111111,2.2002035201317174,1.0175999999999998,-1.5969,1.1204,6149.546184079465
320,0.09013888888888888,2.198432091286879,1.0058,-1.5951,1.1301,6149.409851765347
321,0.09041666666666667,2.1962908322897494,0.9945,-1.5914000000000001,1.1411,6149.274374244209
322,0.09069444444444442,2.1937597247647704,0.985,-1.5908000000000002,1.1453,6149.13854991838
323,0.09097222222222223,2.191491332403576,0.9724,-1.5895,1.1535000000000002,6149.002122243304
324,0.09124999999999998,2.189507627298887,0.9595999999999999,-1.5885000000000002,1.1618000000000002,6148.866048756883
